Source Host,Destination Host,Packets Sent,Packet Loss,Packet Delivery Ratio,Delay,Test duration,Bytes Sent,Throughput
rasp3,rasp1,5,0%,100.0%,4.961 ms,10000 ms,72.1 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp1,10,0%,100.0%,6.377 ms,10000 ms,72.0 MBytes,7.525 MB/s (60.2 Mbps)
rasp3,rasp1,50,0%,100.0%,7.566 ms,10000 ms,72.2 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp1,100,0%,100.0%,7.466 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp3,rasp1,500,0.2%,99.8%,8.177 ms,10000 ms,72.1 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp1,1000,0%,100.0%,7.511 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp3,rasp2,5,0%,100.0%,7.415 ms,10000 ms,72.2 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp2,10,0%,100.0%,7.519 ms,10000 ms,72.4 MBytes,7.575 MB/s (60.6 Mbps)
rasp3,rasp2,50,0%,100.0%,7.632 ms,10000 ms,72.3 MBytes,7.575 MB/s (60.6 Mbps)
rasp3,rasp2,100,0%,100.0%,7.567 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
rasp3,rasp2,500,0%,100.0%,7.586 ms,10000 ms,71.8 MBytes,7.5125 MB/s (60.1 Mbps)
rasp3,rasp2,1000,0%,100.0%,7.506 ms,10000 ms,72.4 MBytes,7.575 MB/s (60.6 Mbps)
rasp1,rasp2,5,0%,100.0%,7.434 ms,10000 ms,71.6 MBytes,7.4875 MB/s (59.9 Mbps)
rasp1,rasp2,10,0%,100.0%,6.834 ms,10000 ms,71.9 MBytes,7.525 MB/s (60.2 Mbps)
rasp1,rasp2,50,0%,100.0%,7.375 ms,10000 ms,71.8 MBytes,7.5125 MB/s (60.1 Mbps)
rasp1,rasp2,100,0%,100.0%,7.326 ms,10000 ms,72.0 MBytes,7.5375 MB/s (60.3 Mbps)
rasp1,rasp2,500,0%,100.0%,7.420 ms,10000 ms,71.6 MBytes,7.4875 MB/s (59.9 Mbps)
rasp1,rasp2,1000,0%,100.0%,7.448 ms,10000 ms,71.0 MBytes,7.425 MB/s (59.4 Mbps)
rasp1,rasp3,5,0%,100.0%,7.325 ms,10000 ms,71.4 MBytes,7.4625 MB/s (59.7 Mbps)
rasp1,rasp3,10,0%,100.0%,7.627 ms,10000 ms,70.4 MBytes,7.375 MB/s (59.0 Mbps)
rasp1,rasp3,50,0%,100.0%,7.648 ms,10000 ms,70.8 MBytes,7.4125 MB/s (59.3 Mbps)
rasp1,rasp3,100,0%,100.0%,7.489 ms,10000 ms,70.8 MBytes,7.4125 MB/s (59.3 Mbps)
rasp1,rasp3,500,0%,100.0%,7.646 ms,10000 ms,71.7 MBytes,7.5 MB/s (60.0 Mbps)
rasp1,rasp3,1000,0%,100.0%,7.512 ms,10000 ms,70.0 MBytes,7.325 MB/s (58.6 Mbps)
rasp2,rasp1,5,0%,100.0%,7.349 ms,10000 ms,73.2 MBytes,7.65 MB/s (61.2 Mbps)
rasp2,rasp1,10,0%,100.0%,7.509 ms,10000 ms,73.1 MBytes,7.65 MB/s (61.2 Mbps)
rasp2,rasp1,50,0%,100.0%,7.487 ms,10000 ms,72.7 MBytes,7.6125 MB/s (60.9 Mbps)
rasp2,rasp1,100,0%,100.0%,7.175 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp2,rasp1,500,0%,100.0%,7.373 ms,10000 ms,72.7 MBytes,7.6125 MB/s (60.9 Mbps)
rasp2,rasp1,1000,0%,100.0%,7.397 ms,10000 ms,73.0 MBytes,7.65 MB/s (61.2 Mbps)
rasp2,rasp3,5,0%,100.0%,7.463 ms,10000 ms,72.7 MBytes,7.6 MB/s (60.8 Mbps)
rasp2,rasp3,10,0%,100.0%,7.659 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp2,rasp3,50,0%,100.0%,7.388 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
rasp2,rasp3,100,0%,100.0%,7.528 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
rasp2,rasp3,500,0%,100.0%,7.545 ms,10000 ms,72.6 MBytes,7.5875 MB/s (60.7 Mbps)
rasp2,rasp3,1000,0%,100.0%,7.531 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
