Source Host,Destination Host,Packets Sent,Packet Loss,Packet Delivery Ratio,Delay,Test duration,Bytes Sent,Throughput
rasp2,rasp1,5,0%,100.0%,7.349 ms,10000 ms,73.2 MBytes,7.65 MB/s (61.2 Mbps)
rasp2,rasp1,10,0%,100.0%,7.509 ms,10000 ms,73.1 MBytes,7.65 MB/s (61.2 Mbps)
rasp2,rasp1,50,0%,100.0%,7.487 ms,10000 ms,72.7 MBytes,7.6125 MB/s (60.9 Mbps)
rasp2,rasp1,100,0%,100.0%,7.175 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp2,rasp1,500,0%,100.0%,7.373 ms,10000 ms,72.7 MBytes,7.6125 MB/s (60.9 Mbps)
rasp2,rasp1,1000,0%,100.0%,7.397 ms,10000 ms,73.0 MBytes,7.65 MB/s (61.2 Mbps)
rasp2,rasp3,5,0%,100.0%,7.463 ms,10000 ms,72.7 MBytes,7.6 MB/s (60.8 Mbps)
rasp2,rasp3,10,0%,100.0%,7.659 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp2,rasp3,50,0%,100.0%,7.388 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
rasp2,rasp3,100,0%,100.0%,7.528 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
rasp2,rasp3,500,0%,100.0%,7.545 ms,10000 ms,72.6 MBytes,7.5875 MB/s (60.7 Mbps)
rasp2,rasp3,1000,0%,100.0%,7.531 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
