Source Host,Destination Host,Packets Sent (No Load),Packet Loss (No Load),Packet Delivery Ratio (No Load),Delay (No Load),Test Duration (No Load),Bytes Sent (No Load),Throughput (No Load),CPU Usage (No Load),Memory Usage (No Load),Temperature (No Load),Packets Sent (Low Load),Packet Loss (Low Load),Packet Delivery Ratio (Low Load),Delay (Low Load),Bytes Transferred (Low Load),Throughput (Low Load),CPU Usage (Low Load),Memory Usage (Low Load),Temperature (Low Load),Packets Sent (Normal Load),Packet Loss (Normal Load),Packet Delivery Ratio (Normal Load),Delay (Normal Load),Bytes Transferred (Normal Load),Throughput (Normal Load),CPU Usage (Normal Load),Memory Usage (Normal Load),Temperature (Normal Load),Packets Sent (High Load),Packet Loss (High Load),Packet Delivery Ratio (High Load),Delay (High Load),Bytes Transferred (High Load),Throughput (High Load),CPU Usage (High Load),Memory Usage (High Load),Temperature (High Load)
rasp3,rasp1,5,0%,100.0%,6.814 ms,10000 ms,71.0 MBytes,7.42 MB/s (59.40 Mbps),33.3,4.51818,46.7,5,0%,100.0%,8.497 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),25,4.56607,48.2,5,0%,100.0%,27.681 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),33.3,4.5913,48.7,5,0%,100.0%,45.986 ms,73.90 MBytes,7.75 MB/s (62.00 Mbps),0,4.5326,50.1
rasp3,rasp1,10,0%,100.0%,10.242 ms,10000 ms,71.2 MBytes,7.46 MB/s (59.70 Mbps),20,4.52344,50.6,10,0%,100.0%,7.538 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),30.8,4.52694,51.6,10,0%,100.0%,25.819 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.48873,52.1,10,0%,100.0%,74.412 ms,74.00 MBytes,7.76 MB/s (62.10 Mbps),20,4.46103,52.1
rasp3,rasp1,50,0%,100.0%,8.519 ms,10000 ms,71.1 MBytes,7.44 MB/s (59.50 Mbps),28.6,4.57451,51.6,50,0%,100.0%,7.240 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),27.3,4.51025,53.0,50,0%,100.0%,28.167 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.56916,52.5,50,30%,70.0%,109.404 ms,74.20 MBytes,7.79 MB/s (62.30 Mbps),25,4.62065,54.5
rasp3,rasp1,100,0%,100.0%,8.319 ms,10000 ms,71.7 MBytes,7.51 MB/s (60.10 Mbps),33.3,4.56792,52.1,100,0%,100.0%,7.574 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),30,4.59954,52.5,100,0%,100.0%,26.669 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.46144,54.0,100,28%,72.0%,112.763 ms,72.10 MBytes,7.56 MB/s (60.50 Mbps),20,4.52766,55.5
rasp3,rasp1,500,0%,100.0%,7.842 ms,10000 ms,71.4 MBytes,7.47 MB/s (59.80 Mbps),25,4.60983,51.6,500,0%,100.0%,7.428 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),33.3,4.56803,53.0,500,2%,98.0%,46.856 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),33.3,4.55865,54.5,500,31.4%,68.60000000000001%,131.273 ms,73.40 MBytes,7.70 MB/s (61.60 Mbps),33.3,4.53219,55.0
rasp3,rasp1,1000,0%,100.0%,7.879 ms,10000 ms,67.9 MBytes,7.10 MB/s (56.80 Mbps),33.3,4.64032,53.5,1000,0%,100.0%,7.930 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),20,4.65412,53.5,1000,0.1%,99.9%,27.559 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.55917,54.5,1000,41.3%,58.699999999999996%,144.886 ms,70.90 MBytes,7.44 MB/s (59.50 Mbps),33.3,4.60695,56.4
rasp3,rasp1,5000,0%,100.0%,7.915 ms,10000 ms,72.1 MBytes,7.55 MB/s (60.40 Mbps),27.3,4.63301,54.0,5000,0%,100.0%,7.474 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),20,4.58368,54.5,5000,0.08%,99.92%,25.599 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),33.3,4.51334,57.4,5000,28.14%,71.86%,138.240 ms,71.40 MBytes,7.49 MB/s (59.90 Mbps),33.3,4.53229,60.3
rasp3,rasp2,5,0%,100.0%,7.561 ms,10000 ms,70.1 MBytes,7.34 MB/s (58.70 Mbps),33.3,4.56978,52.5,5,0%,100.0%,7.404 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.47936,54.0,5,0%,100.0%,27.646 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.5742,54.0,5,0%,100.0%,43.745 ms,64.60 MBytes,6.78 MB/s (54.20 Mbps),14.3,4.47514,55.5
rasp3,rasp2,50,0%,100.0%,7.956 ms,10000 ms,70.5 MBytes,7.39 MB/s (59.10 Mbps),28.6,4.59676,55.0,50,0%,100.0%,7.650 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),16.7,4.6155,56.4,50,0%,100.0%,25.299 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.48966,56.0,50,26%,74.0%,128.299 ms,73.20 MBytes,7.67 MB/s (61.40 Mbps),20,4.5256,56.9
rasp3,rasp2,100,0%,100.0%,7.734 ms,10000 ms,71.2 MBytes,7.45 MB/s (59.60 Mbps),23.1,4.59737,56.0,100,0%,100.0%,7.415 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.59326,54.5,100,0%,100.0%,26.164 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),61.5,4.62363,55.0,100,33%,67.0%,125.204 ms,70.90 MBytes,7.44 MB/s (59.50 Mbps),33.3,4.4462,56.4
