Source Host,Destination Host,Packets Sent,Packet Loss,Packet Delivery Ratio,Delay,Test duration,Bytes Sent,Throughput
rasp1,rasp2,10,0%,100.0%,7.973 ms,10220 ms,45280728 Bytes,4.23 MB/s (35.44 Mbps)
rasp1,rasp2,50,0%,100.0%,6.825 ms,10176 ms,37571580 Bytes,3.52 MB/s (29.54 Mbps)
rasp1,rasp2,100,0%,100.0%,7.163 ms,10124 ms,49664448 Bytes,4.68 MB/s (39.24 Mbps)
rasp1,rasp2,500,0%,100.0%,6.917 ms,10184 ms,10974060 Bytes,1.03 MB/s (8.62 Mbps)
rasp1,rasp2,1000,0%,100.0%,7.015 ms,10176 ms,54592812 Bytes,5.12 MB/s (42.92 Mbps)
rasp1,rasp3,10,0%,100.0%,4.406 ms,10260 ms,42198840 Bytes,3.92 MB/s (32.90 Mbps)
rasp1,rasp3,50,0%,100.0%,6.452 ms,10244 ms,38212164 Bytes,3.56 MB/s (29.84 Mbps)
rasp1,rasp3,100,0%,100.0%,6.725 ms,10080 ms,23776884 Bytes,2.25 MB/s (18.87 Mbps)
rasp1,rasp3,500,0%,100.0%,7.011 ms,10112 ms,39539088 Bytes,3.73 MB/s (31.28 Mbps)
rasp2,rasp1,10,0%,100.0%,8.262 ms,10032 ms,53107956 Bytes,5.05 MB/s (42.35 Mbps)
rasp2,rasp1,50,0%,100.0%,7.247 ms,10292 ms,43198092 Bytes,4.00 MB/s (33.58 Mbps)
rasp2,rasp1,100,0%,100.0%,7.171 ms,10348 ms,40150152 Bytes,3.70 MB/s (31.04 Mbps)
rasp2,rasp1,500,0%,100.0%,6.852 ms,10012 ms,23483160 Bytes,2.24 MB/s (18.76 Mbps)
rasp2,rasp1,1000,0%,100.0%,7.284 ms,10164 ms,45794376 Bytes,4.30 MB/s (36.04 Mbps)
rasp2,rasp3,10,0%,100.0%,8.461 ms,10180 ms,46477764 Bytes,4.35 MB/s (36.52 Mbps)
rasp2,rasp3,50,0%,100.0%,6.774 ms,10356 ms,56170656 Bytes,5.17 MB/s (43.39 Mbps)
rasp2,rasp3,100,0%,100.0%,7.482 ms,10100 ms,57311604 Bytes,5.41 MB/s (45.40 Mbps)
rasp2,rasp3,500,0%,100.0%,7.167 ms,10164 ms,53146332 Bytes,4.99 MB/s (41.83 Mbps)
rasp2,rasp3,1000,0%,100.0%,7.505 ms,10252 ms,57465108 Bytes,5.35 MB/s (44.84 Mbps)
rasp3,rasp1,10,0%,100.0%,6.198 ms,10276 ms,47314656 Bytes,4.39 MB/s (36.84 Mbps)
rasp3,rasp1,50,0%,100.0%,7.022 ms,10148 ms,3691476 Bytes,355.24 KB/s (2910.10 Kbps)
rasp3,rasp1,100,0%,100.0%,6.990 ms,10328 ms,50620896 Bytes,4.67 MB/s (39.21 Mbps)
rasp3,rasp1,500,0%,100.0%,7.106 ms,10340 ms,43847532 Bytes,4.04 MB/s (33.92 Mbps)
rasp3,rasp1,1000,0%,100.0%,7.128 ms,10156 ms,54324180 Bytes,5.10 MB/s (42.79 Mbps)
rasp3,rasp2,10,0%,100.0%,6.722 ms,10128 ms,44756748 Bytes,4.21 MB/s (35.35 Mbps)
rasp3,rasp2,50,0%,100.0%,7.025 ms,10208 ms,8588844 Bytes,821.66 KB/s (6731.06 Kbps)
rasp3,rasp2,100,0%,100.0%,7.436 ms,10316 ms,38040948 Bytes,3.52 MB/s (29.50 Mbps)
rasp3,rasp2,500,0%,100.0%,7.988 ms,10272 ms,44355276 Bytes,4.12 MB/s (34.54 Mbps)
rasp3,rasp2,1000,0%,100.0%,8.579 ms,10024 ms,57044448 Bytes,5.43 MB/s (45.53 Mbps)
