Source Host,Destination Host,Packets Sent,Packet Loss,Packet Delivery Ratio,Delay,Test duration,Bytes Sent,Throughput
rasp1,rasp3,10,0%,100.0%,8.099 ms,10000 ms,69.1 MBytes,7.225 MB/s (57.8 Mbps)
rasp1,rasp3,50,0%,100.0%,8.304 ms,10000 ms,66.7 MBytes,6.9875 MB/s (55.9 Mbps)
rasp1,rasp3,100,0%,100.0%,8.257 ms,10000 ms,66.2 MBytes,6.925 MB/s (55.4 Mbps)
rasp1,rasp3,500,0%,100.0%,8.713 ms,10000 ms,67.3 MBytes,7.025 MB/s (56.2 Mbps)
rasp1,rasp3,1000,0%,100.0%,8.189 ms,10000 ms,67.6 MBytes,7.075 MB/s (56.6 Mbps)
rasp1,rasp2,5,0%,100.0%,7.458 ms,10000 ms,68.1 MBytes,7.1375 MB/s (57.1 Mbps)
rasp1,rasp2,10,0%,100.0%,7.211 ms,10000 ms,68.6 MBytes,7.1875 MB/s (57.5 Mbps)
rasp1,rasp2,50,0%,100.0%,8.107 ms,10000 ms,67.8 MBytes,7.1 MB/s (56.8 Mbps)
rasp1,rasp2,100,0%,100.0%,8.066 ms,10000 ms,70.2 MBytes,7.3375 MB/s (58.7 Mbps)
rasp1,rasp2,500,0%,100.0%,8.448 ms,10000 ms,69.1 MBytes,7.225 MB/s (57.8 Mbps)
rasp1,rasp2,1000,0%,100.0%,7.965 ms,10000 ms,67.6 MBytes,7.075 MB/s (56.6 Mbps)
rasp2,rasp1,5,0%,100.0%,7.948 ms,10000 ms,69.3 MBytes,7.25 MB/s (58.0 Mbps)
rasp2,rasp1,10,0%,100.0%,8.306 ms,10000 ms,68.8 MBytes,7.2 MB/s (57.6 Mbps)
rasp2,rasp1,50,0%,100.0%,9.992 ms,10000 ms,69.9 MBytes,7.325 MB/s (58.6 Mbps)
rasp2,rasp1,100,0%,100.0%,9.053 ms,10000 ms,69.0 MBytes,7.225 MB/s (57.8 Mbps)
rasp2,rasp1,500,0%,100.0%,8.270 ms,10000 ms,69.9 MBytes,7.325 MB/s (58.6 Mbps)
rasp2,rasp1,1000,0%,100.0%,10.133 ms,10000 ms,63.1 MBytes,6.6 MB/s (52.8 Mbps)
rasp2,rasp3,10,0%,100.0%,7.986 ms,10000 ms,65.3 MBytes,6.8375 MB/s (54.7 Mbps)
rasp2,rasp3,50,0%,100.0%,8.795 ms,10000 ms,66.4 MBytes,6.95 MB/s (55.6 Mbps)
rasp2,rasp3,100,0%,100.0%,8.632 ms,10000 ms,65.4 MBytes,6.8375 MB/s (54.7 Mbps)
rasp2,rasp3,500,0%,100.0%,8.420 ms,10000 ms,66.6 MBytes,6.975 MB/s (55.8 Mbps)
rasp2,rasp3,1000,0%,100.0%,8.763 ms,10000 ms,65.6 MBytes,6.8625 MB/s (54.9 Mbps)
rasp3,rasp1,5,0%,100.0%,8.176 ms,10000 ms,67.5 MBytes,7.0625 MB/s (56.5 Mbps)
rasp3,rasp1,10,0%,100.0%,7.693 ms,10000 ms,68.5 MBytes,7.1625 MB/s (57.3 Mbps)
rasp3,rasp1,50,0%,100.0%,7.840 ms,10000 ms,68.9 MBytes,7.2125 MB/s (57.7 Mbps)
rasp3,rasp1,100,0%,100.0%,8.072 ms,10000 ms,66.5 MBytes,6.9625 MB/s (55.7 Mbps)
rasp3,rasp1,500,0%,100.0%,8.200 ms,10000 ms,69.4 MBytes,7.25 MB/s (58.0 Mbps)
rasp3,rasp1,1000,0%,100.0%,8.836 ms,10000 ms,66.5 MBytes,6.9625 MB/s (55.7 Mbps)
rasp3,rasp2,10,0%,100.0%,7.469 ms,10000 ms,66.5 MBytes,6.9625 MB/s (55.7 Mbps)
rasp3,rasp2,50,0%,100.0%,8.129 ms,10000 ms,63.7 MBytes,6.6625 MB/s (53.3 Mbps)
rasp3,rasp2,100,0%,100.0%,7.829 ms,10000 ms,62.0 MBytes,6.4875 MB/s (51.9 Mbps)
rasp3,rasp2,500,0%,100.0%,8.397 ms,10000 ms,68.2 MBytes,7.1375 MB/s (57.1 Mbps)
rasp3,rasp2,1000,0%,100.0%,8.023 ms,10000 ms,60.7 MBytes,6.35 MB/s (50.8 Mbps)
