Source Host,Destination Host,Packets Sent,Packet Loss,Packet Delivery Ratio,Delay,Test duration,Bytes Sent,Throughput
rasp3,rasp1,5,0%,100.0%,8.176 ms,10000 ms,67.5 MBytes,7.0625 MB/s (56.5 Mbps)
rasp3,rasp1,10,0%,100.0%,7.693 ms,10000 ms,68.5 MBytes,7.1625 MB/s (57.3 Mbps)
rasp3,rasp1,50,0%,100.0%,7.840 ms,10000 ms,68.9 MBytes,7.2125 MB/s (57.7 Mbps)
rasp3,rasp1,100,0%,100.0%,8.072 ms,10000 ms,66.5 MBytes,6.9625 MB/s (55.7 Mbps)
rasp3,rasp1,500,0%,100.0%,8.200 ms,10000 ms,69.4 MBytes,7.25 MB/s (58.0 Mbps)
rasp3,rasp1,1000,0%,100.0%,8.836 ms,10000 ms,66.5 MBytes,6.9625 MB/s (55.7 Mbps)
rasp3,rasp2,10,0%,100.0%,7.469 ms,10000 ms,66.5 MBytes,6.9625 MB/s (55.7 Mbps)
rasp3,rasp2,50,0%,100.0%,8.129 ms,10000 ms,63.7 MBytes,6.6625 MB/s (53.3 Mbps)
rasp3,rasp2,100,0%,100.0%,7.829 ms,10000 ms,62.0 MBytes,6.4875 MB/s (51.9 Mbps)
rasp3,rasp2,500,0%,100.0%,8.397 ms,10000 ms,68.2 MBytes,7.1375 MB/s (57.1 Mbps)
rasp3,rasp2,1000,0%,100.0%,8.023 ms,10000 ms,60.7 MBytes,6.35 MB/s (50.8 Mbps)
